Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 3.3.0 NVIDIA 616.92 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce RTX 5090

CAPTURED Rifle Idle_Gun error=0.0000002430306 step=0.00995317287743
CAPTURED Rifle Walk error=0.00000017881393 step=0.02262800931931
CAPTURED Rifle Run error=0.00000021593834 step=0.08370213210583
CAPTURED Rifle Run_Shoot error=0.00000025156055 step=0.08370213210583
CAPTURED Rifle Dodge error=0.04728121683002 step=0.13130968809128
CAPTURED Rifle Reload error=0.00710562104359 step=0.01528236269951
CAPTURED Rifle Recoil error=0.00000021073424 step=0.00702223181725
CAPTURED Rifle Hit error=0.0000002546584 step=0.03161559998989
CAPTURED SMG Idle_Gun error=0.00000029937058 step=0.00020810094429
CAPTURED SMG Walk error=0.00000018227294 step=0.02262800931931
CAPTURED SMG Run error=0.00000057639767 step=0.08370213210583
CAPTURED SMG Run_Shoot error=0.00000030836765 step=0.08370213210583
CAPTURED SMG Dodge error=0.00643567787483 step=0.30215767025948
CAPTURED SMG Reload error=0.00000029937058 step=0.00012594624422
CAPTURED SMG Recoil error=0.00000024499272 step=0.0015272044111
CAPTURED SMG Hit error=0.00000025637604 step=0.02610735408962
CAPTURED Rocket Idle_Gun error=0.00000032782555 step=0.00020810094429
CAPTURED Rocket Walk error=0.00000022330001 step=0.02262800931931
CAPTURED Rocket Run error=0.00000030101177 step=0.08370213210583
CAPTURED Rocket Run_Shoot error=0.00000034142849 step=0.08370213210583
CAPTURED Rocket Dodge error=0.03242987021804 step=0.08441286534071
CAPTURED Rocket Reload error=0.00000019082798 step=0.00012594624422
CAPTURED Rocket Recoil error=0.00000020661092 step=0.01318213902414
CAPTURED Rocket Hit error=0.00148465880193 step=0.03480863571167
ANIMATION_MATRIX_COLLECTED: visual review required
