Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 3.3.0 NVIDIA 616.92 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce RTX 5090

CAPTURED Rifle Idle_Gun error=0.0000002430306 step=0.00995698105544
CAPTURED Rifle Walk error=0.00000017881393 step=0.02262800931931
CAPTURED Rifle Run error=0.00000021593834 step=0.08370213210583
CAPTURED Rifle Run_Shoot error=0.00000029247681 step=0.08370213210583
CAPTURED Rifle Dodge error=0.04663981497288 step=0.15064835548401
CAPTURED Rifle Reload error=0.00703410757706 step=0.01528248749673
CAPTURED Rifle Recoil error=0.00000024755667 step=0.00702224671841
CAPTURED Rifle Hit error=0.01793538406491 step=0.06179039552808
CAPTURED SMG Idle_Gun error=0.00000025922239 step=0.00012594624422
CAPTURED SMG Walk error=0.00000022416839 step=0.02262800931931
CAPTURED SMG Run error=0.00000057639767 step=0.08370213210583
CAPTURED SMG Run_Shoot error=0.0000003581126 step=0.08370213210583
CAPTURED SMG Dodge error=0.00643567787483 step=0.33347970247269
CAPTURED SMG Reload error=0.00000025922239 step=0.00012594624422
CAPTURED SMG Recoil error=0.00000025790743 step=0.01586373709142
CAPTURED SMG Hit error=0.00000025490351 step=0.04072332754731
CAPTURED Rocket Idle_Gun error=0.00000023844768 step=0.00012594624422
CAPTURED Rocket Walk error=0.00000021571329 step=0.02262800931931
CAPTURED Rocket Run error=0.00000025734181 step=0.08370213210583
CAPTURED Rocket Run_Shoot error=0.01523957401514 step=0.16417923569679
CAPTURED Rocket Dodge error=0.03242987021804 step=0.08441286534071
CAPTURED Rocket Reload error=0.00000023844768 step=0.00012594624422
CAPTURED Rocket Recoil error=0.10640997439623 step=0.12453807145357
CAPTURED Rocket Hit error=0.0189405400306 step=0.04866416752338
ANIMATION_MATRIX_COLLECTED: visual review required
